PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH
16.34355902,3.26,0.33885,1.0,5.474,5730.0,829.4
5.42586901,1.48,2.89914,2.0,2.5342,5594.0,259.0
3.711012492,46.24,0.14411,1.0,3.3394,6141.0,7559.8
2.01976,7.3626,0.993,1.0,3.394,7274.6,3963.85
0.98999,3.95137,0.993,1.0,2.05,6208.0,420.0
4.21909,12.0136223,0.993,1.0,4.9314032,5367.0,3393.7752478
162.0479502,11.52,0.82549,1.0,9.8974,6309.0,4840.5
22.50053441,3.567,0.993,1.0,7.44,5726.0,714.1
0.693842661,0.83,1.39599,1.0,1.6197,5457.0,49.3
2.4254068,11.0715,0.993,1.0,3.323,8290.0,1910.0
4.08897299,2.36,0.627,3.0,3.585,5897.0,157.9
51.3283527,3.06,0.31768,1.0,9.357,6119.0,692.3
14.7765802,10.2309,0.993,1.0,4.996,6247.0,4630.0
31.024310431,93.29,0.77724,1.0,7.63621,6011.0,96480.0
5.14072621,19.28,0.0012,1.0,27.24,5751.0,145.6
0.8970559,15.8462774,0.993,1.0,1.7688635,5811.0,2702.7874118
3.1856488,11.2665,0.993,1.0,1.304,6602.0,4750.0
8.6795072,24.132,0.993,1.0,3.628,6057.0,10160.0
68.958447,1.11,3.91,1.0,3.128,5455.0,123.3
5.116834,31.682,0.993,0.0,3.30605,6983.0,714.1
6.7136512,12.5036,0.993,1.0,3.541,6179.1,11490.0
5.62978034,1.61,0.25024,1.0,5.847,5497.0,379.2
12.4262889,1.23,0.00237,1.0,18.764,6246.0,94.2
14.13175309,3.02,0.38335,1.0,4.0136,5616.0,1033.0
1.79217,21.4342,0.993,1.0,1.797,4884.0,1710.0
17.3057923,12.4978402,0.993,1.0,4.1729767,6995.5,2807.066874
1.7617165,1.5510074,0.993,1.0,1.9280724,4732.72,356.4029763
58.5850357,149.98,12.92261,1.0,3.5939,6379.0,75468.0
0.566801506,0.62,0.83543,1.0,1.738,6398.0,29.5
2.6085023,13.8957666,0.993,1.0,1.9206019,7302.0,10431.5892384
0.837491225,1.43,1.31582,2.0,1.796,5676.0,190.4
514.14221,2.98,66.14356,1.0,4.153,5524.0,1491.0
5.2702557,1.6776468,0.993,1.0,2.0186676,4662.0,511.6141762
3.2588321,13.33871,0.53,1.0,3.30605,5358.0,714.1
168.81133,1.69,5.27578,1.0,6.582,4798.0,614.4
4.4716261,17.4958,0.993,1.0,6.451,5972.0,5000.0
0.474811162,1.28,2.08096,1.0,1.169,5799.0,205.2
79.2450351,3.33,4.72989,1.0,5.382,5648.0,1347.3
8.986648,143.0368808,0.993,0.0,3.30605,5265.0,714.1
6.671774,1.92561267,0.993,2.0,3.30605,4636.0,714.1
13.93291548,1.66,0.5853,2.0,2.6239,6026.0,131.6
2.99561,11.99363,0.993,1.0,3.30605,6132.0,0.82
3.8618241,13.3017642,0.993,1.0,3.1764029,11396.0,823.5651883
7.12766417,1.21,3.9606,2.0,2.491,5159.0,229.2
