PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH,DISPOSITION_ENCODED
2.365766,3.567,0.993,1.0,4.298,4057.4,5750.0,1
57.104588,0.98,0.32384,1.0,11.5,5637.0,144.3,0
1.06884,10.3628,0.993,1.0,2.512,9222.0,470.0,0
19.07863,2.54,0.993,3.0,3.30605,4742.0,714.1,2
7.19552624,1.67,0.49509,1.0,4.095,6242.0,214.6,0
27.659607786,50.7,10.62622,1.0,4.16321,5310.0,318400.0,0
57.8415,6.13,0.993,0.0,3.30605,5726.0,0.1602,1
6.73069,22.1494,0.993,1.0,3.503,6048.2,14721.7,0
5.77440326,0.8,6.89053,2.0,1.768,3808.0,245.3,2
3.582076914,5.33,0.02987,1.0,4.4228,6109.0,1534.4,0
1.23935745,1.5,0.1815,2.0,1.683,5370.0,150.9,1
3.2452094,20.6894,0.993,1.0,2.722,5928.0,7370.0,1
6.146653835,8.5614402,0.993,1.0,13.4131846,6140.0,1002.2730453,1
189.961729,1.93,0.84651,1.0,12.46,5335.0,699.9,1
12.012,3.567,0.993,1.0,3.30605,5915.0,0.0315,1
692.5150646,2.2782015,0.993,1.0,2.6383141,3614.0,1810.2811624,1
12.5722897,1.09,0.91426,1.0,4.765,6084.0,86.5,2
25.9522401,42.91,0.00199,1.0,20.813,5659.0,2896.9,0
1.65336,1.51,0.993,0.0,3.30605,5726.0,0.0686,1
32.5444769,11.9952,0.993,1.0,1.661,3230.0,101822.0,1
4.9818921,2.66,0.993,0.0,3.30605,5849.0,0.0555,1
3.9525732,3.567,0.993,1.0,2.378,4536.1,857.0,0
47.878243,8.15,0.18024,1.0,4.066,4254.0,910.0,0
1.27997,285.674,0.993,1.0,2.425,3435.0,790.0,0
3.5684459,5.87762,0.993,1.0,2.934,8124.0,939.0,0
7.187257,2.41,0.993,1.0,3.30605,4599.0,714.1,2
2.219405,1.28,0.993,1.0,3.30605,3993.36,714.1,2
2.344138713,2.43,221.19043,1.0,0.4495,5313.0,110.8,0
4.474513,8.16881084,0.993,0.0,3.30605,6081.0,714.1,1
3.1191196,11.4433015,0.993,1.0,2.0922004,5036.0,24617.3354776,1
241.0122,4.41,959.13239,2.0,1.19,7843.0,216.1,0
12.92489803,2.62,1.84274,1.0,2.6811,5103.0,959.0,2
12.207632,2.47,0.993,1.0,3.30605,4684.0,0.1,2
53.501860974,55.23,13.2274,1.0,5.25334,5436.0,456780.0,0
1.08906057,0.75,0.42845,1.0,2.743,5087.0,76.2,0
1.589843,49.0,0.993,0.0,3.30605,5726.0,0.1741,1
2.908453928,19.44,0.028,1.0,2.5363,5786.0,427.5,0
4.2594558,10.33,0.993,1.0,3.391,5763.8,7500.0,1
28.5463574,1.35,0.28619,5.0,9.29,5780.0,153.3,0
6.00127,2.043,2.92,1.0,3.30605,4716.0,714.1,2
0.566795728,0.64,0.17134,1.0,2.79,6130.0,18.9,0
3.664964374,30.98,0.82956,1.0,3.9058,5726.0,90827.0,0
52.069002,2.92,15.34753,2.0,3.0089,5565.0,558.3,2
7.49018305,2.56,3.3941,4.0,2.7297,5103.0,1123.6,2
6.5883481,9.5170822,0.993,1.0,5.3652099,6186.7,5547.4045934,1
3.50376155,3.567,0.993,1.0,3.16,5726.0,714.1,0
45.9029768,1.18,2.827,4.0,5.0041,4499.0,361.8,2
11.4483792,10.4552,0.993,1.0,4.824,6175.0,6660.0,1
3.04108,11.9,0.993,0.0,3.30605,5726.0,0.0563,1
31.56904354,11.18,1.77026,1.0,2.6364,5654.0,4229.4,1
1.03905082,0.87,0.25814,1.0,3.035,6558.0,43.8,0
1.287097944,0.89,1.2486,1.0,1.94,5906.0,106.1,0
25.76051,3.124,0.993,2.0,3.30605,5236.0,714.1,2
1.99042642,1.17,0.59978,2.0,3.083,6198.0,133.8,0
567.71329,3.28,1.76686,1.0,12.85,6248.0,259.4,0
5.71462396,1.78,2.60833,3.0,2.336,5344.0,297.8,2
5.69046,18.81,0.993,0.0,3.30605,5549.0,0.533,1
2.936527336,1.92,2.97942,2.0,1.771,5359.0,352.3,2
4.3181867,13.8846,0.993,1.0,3.557,6139.3,4899.0,1
88.523517,1.6,0.22334,1.0,7.22,3827.0,828.0,1
11.1296441,12.8402271,0.993,1.0,7.0473822,5785.0,951.6169809,1
3.6469454,1.0301459,0.993,2.0,2.4652655,5259.0,145.1854235,1
4.7257129,10.5468,0.993,1.0,2.701,6139.0,1740.0,0
22.4765952,1.21,4.73166,1.0,3.437,4563.0,481.4,2
6.0042191,15.9733684,0.993,1.0,6.3533818,6226.0,6642.539062,1
75.636309,1.32,34.00891,1.0,2.588,6072.0,174.6,1
4.09847409321,14.83669218,0.993,1.0,3.30605,5198.0,1.68699465,2
15.5177539,9.4825825,0.993,1.0,1.2572404,6314.93,3717.3165127,1
4.5314275,3.567,0.993,1.0,6.41,3605.0,6062.0,1
13.8665912,14.3875,0.993,1.0,6.491,6707.0,7930.0,1
0.68601,3.567,0.993,1.0,1.614,5726.0,910.0,0
1.353771892,430.99,0.02376,1.0,7.012,4283.0,1349.1,0
2.8964139,2.45,0.993,0.0,3.30605,3547.0,0.289,1
7.942583252,219.02,0.31844,1.0,7.0612,5516.0,88327.0,0
1.1542402,3.567,0.993,1.0,3.377,4136.6,15460.0,1
3.6480957,1.241,2.42,3.0,3.30605,4340.0,714.1,2
23.897707,3.567,0.993,0.0,3.30605,5020.0,1.1511,1
14.6435,2.52,0.993,3.0,3.30605,5726.0,0.0872,2
63.8432,2.78,0.993,0.0,3.30605,5726.0,0.193,1
3.9678136,2.81756,0.993,1.0,4.238,6138.0,760.0,0
235.9986399,10.59,2.14449,1.0,8.2284,4245.0,20715.0,1
17.8961832,11.0501866,0.993,1.0,5.8302347,5767.33,6620.0097774,1
0.855763492,72.82,0.37107,1.0,3.64361,6679.0,131660.0,0
0.812587678,1.54,3.32151,1.0,1.1144,6143.0,62.9,0
2.745910734,61.16,1.11048,1.0,4.02594,5372.0,286810.0,0
1.13305,2.16887,0.993,1.0,1.073,5883.8,100.0,0
8.207257515,46.82,3.60965,1.0,4.23835,4859.0,391300.0,0
3.002654,10.45,0.993,1.0,3.30605,5726.0,0.4774,2
4.54462,6.6,0.993,0.0,3.30605,5726.0,0.929,1
10.56104,2.18,2.7,2.0,3.30605,5679.0,714.1,2
37.3415931,2.1417,0.993,1.0,5.351,5452.0,766.0,1
3.4149091,13.9171881,0.993,1.0,2.7231879,5480.0,13219.6475165,1
3.55653637,1.7,0.02069,1.0,8.7,5950.0,202.5,0
14.4359459,1.46,1.58394,3.0,3.414,6075.0,107.3,2
2.22982,3.567,0.993,0.0,3.30605,7391.0,24.7831,0
12.83724862,3.567,0.993,1.0,3.30605,4314.0,0.054,2
18.001053,3.794,0.993,0.0,3.30605,5579.0,714.1,1
74.8,4.34,0.993,1.0,3.30605,5044.0,714.1,1
9.173866,6.86473931,0.993,1.0,3.30605,5035.0,714.1,2
9.726748645,277.38,0.11328,1.0,19.4093,5618.0,393410.0,0
0.6439909,12.6159,0.993,1.0,0.645,5225.0,7794.0,1
2.64594828,3.567,0.993,0.0,3.30605,6634.0,1.124,1
19.5715862,3.6067731,0.993,1.0,4.1467964,4666.1,1677.0138379,1
15.40877383,3.567,0.993,2.0,3.49,5726.0,714.1,1
4.4156851,7.75741,0.993,1.0,1.091,5599.0,3166.0,1
0.72091,1.5,0.993,1.0,3.30605,5633.0,714.1,2
742.8561164,2.2756143,0.993,1.0,5.6483285,5816.0,415.3404179,1
1.6877647,5.76677,0.993,1.0,2.189,6599.0,1655.0,1
17.1541,3.567,0.993,0.0,3.30605,4930.0,1.948,1
9.45889,1.44,0.993,1.0,3.30605,4842.0,0.02669,2
6.67410577,1.62,0.08374,1.0,3.645,5949.0,160.9,0
3.11594,1.59,0.993,1.0,3.30605,5726.0,0.162,1
24.0884178,1.16,2.78337,2.0,3.952,4213.0,387.2,2
3.0076713,12.7756,0.993,1.0,3.094,5704.0,10740.0,1
4.399739,3.01,0.993,2.0,3.30605,5726.0,0.1682,2
1.0924536,6.5935026,0.993,1.0,1.2245785,6273.0,874.580104,0
1.756466865,87.4,0.34817,1.0,4.7781,5726.0,188220.0,0
30.954222,2.5,0.993,1.0,3.30605,4040.0,0.1496,2
0.5919629,9.90447,0.993,1.0,1.0,6337.0,2450.0,0
6.7210783,3.567,0.993,1.0,7.46,5726.0,714.1,0
329.71491,1.39,1.63624,1.0,12.11,5576.0,337.0,0
45.29422297,2.26,1.27076,2.0,6.83,5676.0,477.1,2
1.371288853,1.15,0.17482,1.0,1.4528,6220.0,66.2,0
33.1981761,3.21,0.56912,3.0,4.709,5570.0,336.7,2
568.08251,2.14,1.57398,1.0,13.608,5359.0,508.3,0
6.146653835,5.18833,0.993,4.0,6.426,6500.6,1437.0,1
7.11047482,3.567,0.993,0.0,3.30605,5595.68,0.07,1
147.661729,1.59,5.6857,1.0,6.207,3788.0,1087.8,1
27.0779813,2.03,4e-05,1.0,138.54,5906.0,347.5,0
1.8134378,0.69,0.03218,1.0,7.776,5094.0,97.4,1
1.032068851,44.35,1.73073,1.0,2.1344,4387.0,121990.0,0
58.1263775,1.32,7.89676,2.0,4.018,5413.0,271.5,1
0.512869432,31.12,0.17236,2.0,4.015,5853.0,2313.0,0
4.27808,17.8096125,0.993,1.0,1.9576205,4772.0,1096.6013542,0
